#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
159,Seattle Seahawks,DST,SEA,6,3,11,5,7,BYE,0,7,3,5,5,9,9,12,9,9,5,6.6,105,160
160,Logan Thomas,TE,WAS,9.7,2.6,3.1,0.8,0.4,10.2,12,BYE,2.8,6.6,0.8,9.4,15.8,4.3,10.1,6.3,9.7,6.5,104.6,161
161,Marquez Valdes-Scantling,WR,KC,15.6,6.4,0.5,4.5,-,3.2,0.9,2.3,17.3,20.9,3.5,0,-0.4,14.5,0,0,15.1,6.5,104.3,161
161,Rob Gronkowski,TE,FA,1.1,0,4.8,2.9,5.2,13.8,12.2,10.1,0.2,11.1,2.5,10.6,-,6.2,2.9,17.8,2.9,6.5,104.3,163
163,Emmanuel Sanders,WR,FA,7.5,1.8,11.6,9.3,12.2,-,-,-,9.8,0.5,6.6,0.4,3.9,10.8,7.6,9.5,12.3,7.4,103.8,164
164,DeVante Parker,WR,NE,4.7,11.3,6.9,11,11,3.5,-,6.3,6.4,3.1,12.1,11.9,3.5,0,-,-,11.6,7.4,103.3,165
165,Philadelphia Eagles,DST,PHI,3,1,8,18,-1,2,9,20,BYE,3,8,2,7,9,6,0,8,6.4,103,165
165,New York Giants,DST,NYG,4,9,-2,5,11,14,5,4,13,4,BYE,9,13,1,2,2,9,6.4,103,167
167,Gabe Davis,WR,BUF,1.6,6.6,8.1,8.6,5.8,0.7,1.1,0,13,0,BYE,13.9,12.8,7.9,1.8,3.3,16.7,6.4,101.9,168
168,DJ Chark Jr.,WR,CAR,8.5,8.4,-,21.5,1.6,4.5,2.6,-,20.6,5.6,4.1,-,4.1,1.6,5.3,12.2,-,7.7,100.6,169
